Plan: 'Test 2' (Sava2D-Obr-Ost.p02)
Simulation started at: 25Aug2022 12:46:46 PM

Writing Geometry...
Computing 2D Flow Area 'Obuhvat2D' tables: Property tables do not exist.
2D Flow Area 'Obuhvat2D' tables complete 14.16 sec
Completed Writing Geometry

	
Geometric Preprocessor HEC-RAS 6.2 March 2022
 

Finished Processing Geometry

Writing Event Conditions ...
Completed Writing Event Condition Data


Performing Unsteady Flow Simulation  HEC-RAS 6.2 March 2022
 
	
Unsteady Input Summary:
     2D Unsteady SWE-ELM Equation Set (faster)

Maximum adaptive timestep = 20:00.0    Minimum adaptive timestep = 00:02.344
Initial adaptive timestep = 00:37.5

Maximum iteration location		Cell	 WSEL	ERROR	ITERATIONS

01SEP2022 00:00:38  Obuhvat2D	Cell #	     30372	   63.53	   0.048	20
01SEP2022 00:01:15  Obuhvat2D	Cell #	     30612	   62.51	   0.126	20
01SEP2022 00:01:53  Obuhvat2D	Cell #	     15487	   63.33	   0.092	21
01SEP2022 00:02:30  Obuhvat2D	Cell #	     30852	   62.32	   0.225	21

01SEP2022 00:03:08  Obuhvat2D	Cell #	     31091	   62.79	   0.078	23
01SEP2022 00:03:45  Obuhvat2D	Cell #	     30137	   62.22	   0.038	21
01SEP2022 00:04:23  Obuhvat2D	Cell #	     30612	   62.76	   0.029	20
01SEP2022 00:05:00  Obuhvat2D	Cell #	     31328	   63.33	   0.051	20

01SEP2022 00:05:38  Obuhvat2D	Cell #	     30853	   62.64	   0.007	20
01SEP2022 00:06:15  Obuhvat2D	Cell #	     31328	   63.29	   0.127	23
01SEP2022 00:06:53  Obuhvat2D	Cell #	     30858	   62.52	   0.055	20
01SEP2022 00:07:30  Obuhvat2D	Cell #	     30620	   62.57	   0.165	20
01SEP2022 00:07:30       timestep =            18.75        (sec)

01SEP2022 00:07:49  Obuhvat2D	Cell #	     31090	   63.65	   0.039	21
01SEP2022 00:08:08  Obuhvat2D	Cell #	     31090	   63.68	   0.029	20
01SEP2022 00:08:26  Obuhvat2D	Cell #	     31090	   63.69	   0.037	21
01SEP2022 00:08:45  Obuhvat2D	Cell #	     31090	   63.68	   0.010	20

01SEP2022 00:09:04  Obuhvat2D	Cell #	     31090	   63.67	   0.020	21
01SEP2022 00:09:23  Obuhvat2D	Cell #	     31090	   63.66	   0.042	21
01SEP2022 00:09:41  Obuhvat2D	Cell #	     31090	   63.67	   0.039	20
01SEP2022 00:10:00  Obuhvat2D	Cell #	     31090	   63.68	   0.030	20

01SEP2022 00:10:19  Obuhvat2D	Cell #	     31090	   63.71	   0.018	20
01SEP2022 00:10:38  Obuhvat2D	Cell #	     31090	   63.71	   0.024	21
01SEP2022 00:10:56  Obuhvat2D	Cell #	     31090	   63.70	   0.003	20
01SEP2022 00:11:15  Obuhvat2D	Cell #	     31090	   63.70	   0.012	21

01SEP2022 00:11:34  Obuhvat2D	Cell #	     31090	   63.71	   0.027	21
01SEP2022 00:11:53  Obuhvat2D	Cell #	     31090	   63.68	   0.004	20
01SEP2022 00:13:45  Obuhvat2D	Cell #	     28088	   62.32	   0.006	20
01SEP2022 00:26:52       timestep =            37.5          (sec)
01SEP2022 00:27:30  Obuhvat2D	Cell #	     30491	   64.88	   0.010	21

01SEP2022 00:28:08  Obuhvat2D	Cell #	     30491	   64.86	   0.031	21
01SEP2022 00:28:45  Obuhvat2D	Cell #	     31575	   63.67	   0.049	21
01SEP2022 00:29:23  Obuhvat2D	Cell #	     30251	   64.52	   0.053	21
01SEP2022 00:30:00  Obuhvat2D	Cell #	     30251	   64.40	   0.124	20

01SEP2022 00:30:38  Obuhvat2D	Cell #	     30010	   64.10	   0.063	20
01SEP2022 00:31:15  Obuhvat2D	Cell #	     30491	   64.92	   0.048	20
01SEP2022 00:31:53  Obuhvat2D	Cell #	     30251	   64.43	   0.115	21
01SEP2022 00:31:52       timestep =            18.75        (sec)
01SEP2022 00:32:11  Obuhvat2D	Cell #	     30491	   64.91	   0.009	20

01SEP2022 00:35:19  Obuhvat2D	Cell #	     30155	   63.72	   0.008	20
01SEP2022 00:41:53  Obuhvat2D	Cell #	     28078	   63.91	   0.014	20
01SEP2022 00:42:49  Obuhvat2D	Cell #	     30491	   64.93	   0.004	20
01SEP2022 00:43:08  Obuhvat2D	Cell #	     30491	   64.94	   0.005	20

01SEP2022 00:43:26  Obuhvat2D	Cell #	     30491	   64.94	   0.003	20
01SEP2022 00:44:04  Obuhvat2D	Cell #	     30491	   64.94	   0.004	20
01SEP2022 00:44:23  Obuhvat2D	Cell #	     30491	   64.94	   0.004	20
01SEP2022 00:45:00  Obuhvat2D	Cell #	     30491	   64.95	   0.006	20

01SEP2022 00:45:19  Obuhvat2D	Cell #	     30400	   63.86	   0.025	20
01SEP2022 00:45:38  Obuhvat2D	Cell #	     30491	   64.95	   0.013	20
01SEP2022 00:45:56  Obuhvat2D	Cell #	     30491	   64.95	   0.008	20
01SEP2022 00:46:15  Obuhvat2D	Cell #	     30491	   64.96	   0.024	20

01SEP2022 00:46:34  Obuhvat2D	Cell #	     30491	   64.94	   0.013	21
01SEP2022 00:46:53  Obuhvat2D	Cell #	     30491	   64.96	   0.021	21
01SEP2022 00:47:11  Obuhvat2D	Cell #	     30491	   64.95	   0.004	20
01SEP2022 00:47:30  Obuhvat2D	Cell #	     30491	   64.94	   0.014	21

01SEP2022 00:47:49  Obuhvat2D	Cell #	     30491	   64.94	   0.010	21
01SEP2022 00:48:08  Obuhvat2D	Cell #	     30491	   64.93	   0.045	20
01SEP2022 00:48:26  Obuhvat2D	Cell #	     30970	   65.81	   0.007	20
01SEP2022 00:48:45  Obuhvat2D	Cell #	     30491	   64.94	   0.019	21

01SEP2022 00:49:04  Obuhvat2D	Cell #	     30640	   63.98	   0.045	21
01SEP2022 00:49:23  Obuhvat2D	Cell #	     30491	   64.88	   0.106	23
01SEP2022 00:49:41  Obuhvat2D	Cell #	     30491	   64.98	   0.069	21
01SEP2022 00:50:00  Obuhvat2D	Cell #	     30491	   64.88	   0.103	25

01SEP2022 00:50:19  Obuhvat2D	Cell #	     30491	   64.99	   0.067	21
01SEP2022 00:50:38  Obuhvat2D	Cell #	     30491	   64.86	   0.128	20
